Transaction_ID,Profile ID,Date_of_Booking,Date_of_Service_Requested,Source,Slot of Booking (Hour of the Day)
BBCHH,1,20-05-2018,21-05-2018,D,14
CHWFD,1,23-09-2018,23-09-2018,C,8
DYDMF,2,10-11-2018,13-11-2018,C,11
EZYSA,3,12-04-2018,16-04-2018,B,8
HWAKX,3,05-08-2018,06-08-2018,B,11
YRKFO,4,02-03-2018,05-03-2018,A,13
JSFWY,5,06-01-2018,07-01-2018,C,14
GTLXK,6,18-07-2018,21-07-2018,B,13
BGNZX,7,07-12-2017,12-12-2017,D,16
TDVFU,8,29-11-2018,29-11-2018,C,10
LRPOS,8,30-11-2018,30-11-2018,C,14
HFTDN,9,08-03-2018,09-03-2018,B,14
QFVYK,10,26-10-2018,30-10-2018,D,13
CPXJN,11,03-10-2018,03-10-2018,C,15
UWZXB,12,20-02-2018,23-02-2018,B,11
SQLIO,13,21-03-2018,25-03-2018,A,15
OCGQD,14,30-04-2018,01-05-2018,C,14
PRFVG,14,07-06-2018,07-06-2018,D,6
SFYTJ,14,21-06-2018,23-06-2018,C,18
SBKYD,14,24-06-2018,29-06-2018,C,8
CJIHM,14,29-06-2018,01-07-2018,C,8
BNNUV,14,10-10-2018,12-10-2018,B,17
TPGDF,15,18-08-2018,23-08-2018,B,15
HRKKV,16,06-09-2018,10-09-2018,D,8
MCQPG,17,04-04-2018,07-04-2018,C,14
IXAJB,18,30-12-2017,03-01-2018,C,14
UVFIY,18,06-11-2018,07-11-2018,C,13
MKPZY,19,06-02-2018,08-02-2018,C,14
GHOIQ,20,13-06-2018,16-06-2018,A,17
QIYRA,21,27-11-2018,27-11-2018,B,8
PWHVT,22,29-01-2018,02-02-2018,A,15
JCMBE,22,26-04-2018,30-04-2018,D,14
NWIWD,22,06-09-2018,07-09-2018,A,14
QEMTI,23,29-07-2018,01-08-2018,C,13
IZTQM,24,03-07-2018,05-07-2018,D,14
RCZNH,25,30-12-2017,03-01-2018,A,16
IJJUZ,25,14-05-2018,15-05-2018,D,14
FSATM,25,24-05-2018,28-05-2018,B,17
CZLSM,25,23-07-2018,25-07-2018,C,14
FSGSX,26,25-09-2018,27-09-2018,C,13
QFPBH,27,18-10-2018,19-10-2018,B,7
JWYAN,28,23-10-2018,27-10-2018,B,14
PXRZK,29,22-02-2018,26-02-2018,B,7
RETIN,30,15-05-2018,18-05-2018,C,13
WHCUB,31,01-01-2018,01-01-2018,A,12
GRUDK,32,24-02-2018,01-03-2018,D,6
UPNZF,32,04-06-2018,09-06-2018,D,10
VGLNK,32,28-09-2018,02-10-2018,D,16
ZVXZZ,33,06-03-2018,06-03-2018,D,13
MZGUS,33,05-10-2018,05-10-2018,C,14
DKOCM,34,28-02-2018,05-03-2018,C,15
YNAQB,34,16-11-2018,21-11-2018,C,13
VKMTL,35,10-08-2018,14-08-2018,C,10
QZQLB,36,17-01-2018,18-01-2018,A,6
YCVAR,36,25-02-2018,27-02-2018,D,13
JTGYS,36,26-07-2018,28-07-2018,C,14
PLZKK,36,20-11-2018,20-11-2018,A,14
LZZAX,37,21-08-2018,25-08-2018,D,14
WFKKP,38,21-01-2018,24-01-2018,C,13
OZLYT,38,04-09-2018,06-09-2018,B,14
BKTKB,39,02-02-2018,04-02-2018,C,7
ISUQD,39,23-11-2018,24-11-2018,C,14
ZIUGA,40,04-07-2018,06-07-2018,C,13
DRMLC,41,07-04-2018,10-04-2018,C,9
GVPUE,42,21-05-2018,23-05-2018,B,11
NOVCS,43,16-03-2018,18-03-2018,B,14
WOVJA,43,12-06-2018,13-06-2018,C,18
DSGKZ,44,10-12-2017,14-12-2017,B,11
LKJAS,45,19-10-2018,20-10-2018,B,14
RWHKN,46,16-01-2018,21-01-2018,D,16
KZJGH,47,19-12-2017,19-12-2017,B,14
RXHMJ,47,08-02-2018,10-02-2018,A,14
WPRDW,47,12-02-2018,13-02-2018,D,18
YRQOR,47,02-03-2018,04-03-2018,B,13
MUCWG,47,11-03-2018,11-03-2018,C,14
TTUTS,47,16-04-2018,20-04-2018,A,12
XXWUC,47,21-04-2018,25-04-2018,C,13
BNIWW,47,03-05-2018,08-05-2018,B,19
TSUUE,47,08-05-2018,10-05-2018,B,16
